numofvars,factor1,factor2,factor3,factor4,factor5,factor6,factor7,factor8,class,cluster,exemplar
8,0.25,0.4,0.51,0.18,0.5,0,0.5,0.27,0,8,0
8,0.32,0.38,0.52,0.2,0.5,0,0.52,0.28,0,8,0
8,0.27,0.51,0.47,0.35,0.5,0,0.49,0.28,1,8,0
8,0.35,0.4,0.53,0.18,0.5,0,0.42,0.38,0,8,0
8,0.32,0.47,0.55,0.25,0.5,0,0.49,0.22,0,8,0
8,0.29,0.46,0.54,0.27,0.5,0,0.49,0.22,0,8,0
8,0.32,0.45,0.44,0.2,0.5,0,0.55,0.33,1,8,0
8,0.35,0.44,0.54,0.26,0.5,0,0.52,0.26,1,8,0
8,0.25,0.36,0.58,0.3,0.5,0,0.58,0.31,1,8,0
8,0.33,0.38,0.45,0.19,0.5,0,0.54,0.37,1,8,0
8,0.37,0.48,0.5,0.26,0.5,0,0.52,0.39,1,8,0
8,0.25,0.39,0.5,0.23,0.5,0,0.5,0.28,1,8,0
8,0.31,0.39,0.55,0.28,0.5,0,0.46,0.31,1,8,0
8,0.35,0.41,0.53,0.27,0.5,0,0.47,0.29,1,8,0
8,0.34,0.48,0.47,0.19,0.5,0,0.5,0.3,1,8,0
8,0.33,0.42,0.55,0.23,0.5,0,0.52,0.43,1,8,0
8,0.27,0.46,0.52,0.17,0.5,0,0.49,0.44,1,8,0
8,0.31,0.5,0.54,0.32,0.5,0,0.53,0.31,1,8,0
8,0.38,0.51,0.56,0.21,0.5,0,0.48,0.31,1,8,0
8,0.33,0.37,0.49,0.22,0.5,0,0.55,0.22,0,8,0
8,0.27,0.43,0.5,0.13,0.5,0,0.54,0.31,0,8,0
8,0.33,0.49,0.46,0.22,0.5,0,0.53,0.33,0,8,0
8,0.28,0.41,0.46,0.18,0.5,0,0.47,0.39,1,8,0
8,0.4,0.43,0.49,0.17,0.5,0,0.51,0.36,1,8,0
8,0.48,0.23,0.57,0.27,0.5,0,0.48,0.47,1,29,4
8,0.28,0.37,0.61,0.09,0.5,0,0.52,0.55,1,29,4
8,0.37,0.33,0.5,0.12,0.5,0,0.51,0.54,0,29,4
8,0.21,0.38,0.49,0.16,0.5,0,0.51,0.45,0,29,4
8,0.37,0.31,0.53,0.16,0.5,0,0.53,0.44,1,29,4
8,0.39,0.3,0.56,0.12,0.5,0,0.53,0.38,1,29,4
8,0.38,0.26,0.6,0.1,0.5,0,0.48,0.44,1,29,4
8,0.4,0.28,0.48,0.06,0.5,0,0.49,0.42,1,29,4
8,0.34,0.25,0.55,0.28,0.5,0,0.51,0.49,0,29,4
8,0.39,0.3,0.63,0.2,0.5,0,0.43,0.47,0,29,4
8,0.36,0.32,0.55,0.27,0.5,0,0.47,0.43,1,29,4
8,0.23,0.13,0.51,0.16,0.5,0,0.53,0.51,1,29,4
8,0.43,0.4,0.6,0.16,0.5,0,0.53,0.39,1,29,4
8,0.33,0.43,0.64,0.16,0.5,0,0.52,0.52,1,31,3
8,0.39,0.58,0.5,0.26,0.5,0,0.54,0.59,0,31,3
8,0.26,0.38,0.52,0.36,0.5,0,0.48,0.56,1,31,3
8,0.33,0.46,0.53,0.29,0.5,0,0.5,0.55,1,31,3
8,0.41,0.48,0.54,0.24,0.5,0,0.37,0.51,1,31,3
8,0.39,0.44,0.54,0.24,0.5,0,0.51,0.49,1,31,3
8,0.32,0.49,0.53,0.28,0.5,0,0.5,0.5,1,31,3
8,0.35,0.4,0.44,0.25,0.5,0,0.53,0.57,1,31,3
8,0.38,0.44,0.55,0.44,0.5,0,0.47,0.51,1,31,3
8,0.41,0.49,0.65,0.28,0.5,0,0.59,0.57,0,31,3
8,0.33,0.47,0.55,0.24,0.5,0,0.45,0.67,1,31,3
8,0.37,0.48,0.67,0.37,0.5,0,0.56,0.62,1,31,3
8,0.4,0.44,0.47,0.25,0.5,0,0.54,0.56,1,31,3
8,0.42,0.32,0.5,0.21,0.5,0,0.51,0.22,1,36,8
8,0.36,0.24,0.49,0.16,0.5,0,0.51,0.22,1,36,8
8,0.41,0.24,0.54,0.26,0.5,0,0.41,0.22,1,36,8
8,0.41,0.3,0.49,0.28,0.5,0,0.54,0.22,0,36,8
8,0.43,0.32,0.56,0.27,0.5,0,0.47,0.27,1,36,8
8,0.36,0.34,0.46,0.19,0.5,0,0.52,0.22,0,36,8
8,0.46,0.14,0.36,0.21,0.5,0,0.5,0.25,0,36,8
8,0.45,0.21,0.49,0.24,0.5,0,0.46,0.31,1,36,8
8,0.42,0.28,0.51,0.23,0.5,0,0.53,0.27,1,36,8
8,0.45,0.27,0.5,0.33,0.5,0,0.53,0.26,0,36,8
8,0.42,0.21,0.59,0.3,0.5,0,0.47,0.27,1,36,8
8,0.37,0.3,0.51,0.15,0.5,0,0.58,0.26,1,36,8
8,0.42,0.28,0.49,0.22,0.5,0,0.55,0.34,1,36,8
8,0.53,0.25,0.59,0.27,0.5,0,0.45,0.26,1,36,8
8,0.49,0.31,0.43,0.24,0.5,0,0.54,0.22,0,36,8
8,0.48,0.17,0.37,0.33,0.5,0,0.44,0.36,1,36,8
8,0.5,0.34,0.55,0.21,0.5,0,0.49,0.22,1,42,22
8,0.37,0.36,0.56,0.18,0.5,0,0.48,0.26,0,42,22
8,0.51,0.34,0.5,0.19,0.5,0,0.5,0.22,1,42,22
8,0.42,0.31,0.5,0.15,0.5,0,0.53,0.22,1,42,22
8,0.42,0.31,0.62,0.12,0.5,0,0.4,0.22,0,42,22
8,0.39,0.28,0.46,0.12,0.5,0,0.41,0.22,1,42,22
8,0.43,0.39,0.54,0.14,0.5,0,0.47,0.22,1,42,22
8,0.46,0.35,0.53,0.16,0.5,0,0.51,0.29,0,42,22
8,0.44,0.34,0.55,0.18,0.5,0,0.52,0.22,0,42,22
8,0.48,0.34,0.47,0.14,0.5,0,0.47,0.26,0,42,22
8,0.49,0.37,0.59,0.17,0.5,0,0.51,0.22,1,42,22
8,0.42,0.25,0.6,0.14,0.5,0,0.45,0.22,0,42,22
8,0.42,0.32,0.48,0.16,0.5,0,0.55,0.22,0,42,22
8,0.39,0.37,0.56,0.15,0.5,0,0.5,0.27,0,42,22
8,0.39,0.35,0.49,0.17,0.5,0,0.49,0.22,1,42,22
8,0.42,0.28,0.57,0.18,0.5,0,0.42,0.22,1,42,22
8,0.44,0.34,0.61,0.13,0.5,0,0.49,0.26,1,42,22
8,0.51,0.34,0.49,0.16,0.5,0,0.53,0.21,1,42,22
8,0.39,0.28,0.54,0.14,0.5,0,0.59,0.22,0,42,22
8,0.4,0.36,0.55,0.15,0.5,0,0.53,0.22,0,42,22
8,0.4,0.37,0.54,0.13,0.5,0,0.48,0.22,1,42,22
8,0.38,0.31,0.59,0.19,0.5,0,0.46,0.22,0,42,22
8,0.44,0.33,0.55,0.16,0.5,0,0.49,0.22,1,42,22
8,0.46,0.41,0.58,0.1,0.5,0,0.48,0.22,1,42,22
8,0.4,0.3,0.57,0.13,0.5,0,0.46,0.22,1,42,22
8,0.43,0.33,0.67,0.12,0.5,0,0.45,0.23,0,42,22
8,0.43,0.33,0.67,0.12,0.5,0,0.43,0.23,0,42,22
8,0.49,0.38,0.56,0.09,0.5,0,0.46,0.22,0,42,22
8,0.37,0.29,0.45,0.15,0.5,0,0.49,0.22,1,42,22
8,0.52,0.31,0.56,0.16,0.5,0,0.55,0.22,1,42,22
8,0.44,0.39,0.63,0.11,0.5,0,0.49,0.26,1,42,22
8,0.57,0.29,0.63,0.22,0.5,0,0.49,0.27,1,42,22
8,0.42,0.37,0.54,0.17,0.5,0,0.51,0.22,0,42,22
8,0.44,0.35,0.55,0.14,0.5,0,0.52,0.22,0,42,22
8,0.54,0.57,0.52,0.19,0.5,0,0.59,0.67,1,54,5
8,0.44,0.53,0.43,0.17,0.5,0,0.54,0.75,1,54,5
8,0.33,0.48,0.55,0.16,0.5,0,0.53,0.75,1,54,5
8,0.51,0.61,0.5,0.23,0.5,0,0.52,0.61,1,54,5
8,0.5,0.48,0.48,0.23,0.5,0,0.53,0.68,0,54,5
8,0.47,0.55,0.57,0.17,0.5,0,0.52,0.66,1,54,5
8,0.37,0.55,0.52,0.13,0.5,0,0.42,0.8,0,54,5
8,0.48,0.55,0.58,0.18,0.5,0,0.38,0.69,1,54,5
8,0.56,0.52,0.46,0.17,0.5,0,0.49,0.73,0,54,5
8,0.66,0.65,0.53,0.17,0.5,0,0.47,0.66,1,54,5
8,0.41,0.39,0.61,0.17,0.5,0,0.5,0.61,1,54,5
8,0.47,0.56,0.58,0.19,0.5,0,0.44,0.64,0,54,5
8,0.48,0.58,0.47,0.17,0.5,0,0.53,0.74,0,54,5
8,0.41,0.45,0.46,0.23,0.5,0,0.5,0.7,0,54,5
8,0.59,0.67,0.54,0.19,0.5,0,0.48,0.6,1,54,5
8,0.59,0.58,0.56,0.21,0.5,0,0.54,0.33,1,56,16
8,0.55,0.54,0.56,0.22,0.5,0,0.5,0.37,1,56,16
8,0.51,0.55,0.35,0.16,0.5,0,0.51,0.47,0,56,16
8,0.56,0.59,0.53,0.16,0.5,0,0.24,0.42,1,56,16
8,0.61,0.57,0.45,0.21,0.5,0,0.5,0.42,1,56,16
8,0.53,0.53,0.53,0.17,0.5,0,0.49,0.37,1,56,16
8,0.61,0.54,0.49,0.16,0.5,0,0.54,0.42,0,56,16
8,0.61,0.54,0.49,0.19,0.5,0,0.54,0.47,0,56,16
8,0.66,0.54,0.49,0.16,0.5,0,0.54,0.36,1,56,16
8,0.58,0.56,0.52,0.25,0.5,0,0.57,0.35,1,56,16
8,0.56,0.59,0.54,0.18,0.5,0,0.48,0.46,1,56,16
8,0.51,0.55,0.56,0.18,0.5,0,0.5,0.38,1,56,16
8,0.54,0.53,0.53,0.17,0.5,0,0.51,0.39,1,56,16
8,0.57,0.55,0.52,0.16,0.5,0,0.49,0.39,1,56,16
8,0.56,0.49,0.54,0.15,0.5,0,0.5,0.35,1,56,16
8,0.6,0.57,0.52,0.14,0.5,0,0.46,0.48,1,56,16
8,0.57,0.55,0.51,0.18,0.5,0,0.51,0.43,1,56,16
8,0.5,0.52,0.51,0.22,0.5,0,0.46,0.37,0,56,16
8,0.52,0.56,0.55,0.16,0.5,0,0.53,0.39,0,56,16
8,0.58,0.51,0.63,0.2,0.5,0,0.5,0.42,1,56,16
8,0.59,0.7,0.46,0.19,0.5,0,0.54,0.44,0,56,16
8,0.6,0.57,0.63,0.22,0.5,0,0.5,0.49,1,56,16
8,0.64,0.56,0.52,0.17,0.5,0,0.54,0.47,1,56,16
8,0.69,0.57,0.39,0.19,0.5,0,0.48,0.39,0,56,16
8,0.5,0.52,0.59,0.3,0.5,0,0.51,0.35,1,58,9
8,0.35,0.68,0.57,0.4,0.5,0,0.53,0.36,1,58,9
8,0.49,0.62,0.65,0.18,0.5,0,0.46,0.43,1,58,9
8,0.51,0.56,0.62,0.24,0.5,0,0.52,0.51,1,58,9
8,0.47,0.46,0.55,0.28,0.5,0,0.44,0.46,1,58,9
8,0.48,0.62,0.52,0.3,0.5,0,0.51,0.37,1,58,9
8,0.48,0.51,0.5,0.24,0.5,0,0.54,0.38,0,58,9
8,0.46,0.5,0.5,0.28,0.5,0,0.5,0.37,1,58,9
8,0.49,0.6,0.54,0.35,0.5,0,0.53,0.46,1,58,9
8,0.48,0.54,0.56,0.29,0.5,0,0.51,0.43,1,58,9
8,0.54,0.48,0.55,0.33,0.5,0,0.55,0.4,0,58,9
8,0.41,0.46,0.57,0.25,0.5,0,0.57,0.38,0,58,9
8,0.36,0.52,0.61,0.33,0.5,0,0.52,0.37,1,58,9
8,0.57,0.53,0.6,0.28,0.5,0,0.52,0.45,1,58,9
8,0.47,0.43,0.61,0.4,0.5,0,0.48,0.47,1,58,9
8,0.47,0.39,0.5,0.11,0.5,0,0.49,0.4,0,59,13
8,0.44,0.39,0.53,0.14,0.5,0,0.54,0.44,0,59,13
8,0.51,0.35,0.46,0.15,0.5,0,0.51,0.42,0,59,13
8,0.4,0.34,0.52,0.17,0.5,0,0.47,0.51,1,59,13
8,0.5,0.45,0.49,0.15,0.5,0,0.55,0.43,1,59,13
8,0.45,0.38,0.59,0.18,0.5,0,0.44,0.45,1,59,13
8,0.51,0.43,0.47,0.19,0.5,0,0.52,0.37,0,59,13
8,0.44,0.41,0.44,0.13,0.5,0,0.49,0.42,1,59,13
8,0.45,0.4,0.43,0.22,0.5,0,0.51,0.48,1,59,13
8,0.46,0.33,0.45,0.22,0.5,0,0.41,0.37,0,59,13
8,0.46,0.48,0.38,0.22,0.5,0,0.39,0.45,0,59,13
8,0.5,0.43,0.5,0.17,0.5,0,0.46,0.47,1,59,13
8,0.55,0.38,0.52,0.16,0.5,0,0.49,0.64,1,59,13
8,0.47,0.38,0.5,0.15,0.5,0,0.49,0.47,1,59,13
8,0.41,0.42,0.53,0.17,0.5,0,0.48,0.58,1,59,13
8,0.39,0.42,0.49,0.1,0.5,0,0.49,0.65,1,67,4
8,0.33,0.28,0.52,0.15,0.5,0,0.51,0.86,1,67,4
8,0.33,0.17,0.52,0.13,0.5,0,0.51,0.75,1,67,4
8,0.25,0.41,0.47,0.14,0.5,0,0.56,0.68,1,67,4
8,0.35,0.29,0.46,0.14,0.5,0,0.54,0.66,1,67,4
8,0.38,0.4,0.39,0.19,0.5,0,0.46,0.62,1,67,4
