v1,v2,v3,v4,v5,v6,v7
0.417436,0.452463,0.48,0.5,0.0643287,0.79197,0.1887
0.562696,0.558665,0.48,0.5,0.409622,0.773498,0.180829
0.389837,0.524883,0.48,0.5,0.403079,0.735088,0.336656
0.180221,0.503636,0.48,0.5,0.417684,0.643088,0.281147
0.544538,0.465723,0.48,0.5,0.359218,0.794301,0.179856
0.424663,0.535166,0.48,0.5,0.36119,0.782749,0.193517
0.36,0.45,0.48,0.5,0.38,0.79,0.17
0.489958,0.557522,0.48,0.5,0.447118,0.674319,0.207721
0.3,0.51,0.48,0.5,0.42,0.61,0.34
0.1,0.49,0.48,0.5,0.41,0.67,0.21
0.525691,0.492486,0.48,0.5,0.155956,0.769796,0.293074
0.236993,0.54005,0.48,0.5,0.401504,0.698252,0.215532
0.375542,0.453234,0.48,0.5,0.174837,0.791626,0.197361
0.554274,0.541039,0.48,0.5,0.441232,0.77594,0.176089
0.3,0.51,0.48,0.5,0.42,0.61,0.34
0.21666,0.50226,0.48,0.5,0.410834,0.616592,0.313589
0.441835,0.450161,0.48,0.5,0.0931126,0.797928,0.222979
0.406175,0.542391,0.48,0.5,0.381845,0.626439,0.318931
0.215364,0.463623,0.48,0.5,0.401813,0.789293,0.182218
0.535918,0.581066,0.48,0.5,0.423665,0.704548,0.212583
0.3,0.51,0.48,0.5,0.42,0.61,0.34
0.115589,0.497255,0.48,0.5,0.419833,0.611882,0.25476
0.627156,0.550386,0.48,0.5,0.0736488,0.791336,0.309182
0.38484,0.536644,0.48,0.5,0.365293,0.714364,0.22901
0.367347,0.459395,0.48,0.5,0.23063,0.792764,0.178309
0.574803,0.57671,0.48,0.5,0.400694,0.710227,0.211354
0.242332,0.501736,0.48,0.5,0.415609,0.655617,0.271392
0.1,0.49,0.48,0.5,0.41,0.67,0.21
0.53365,0.46944,0.48,0.5,0.284464,0.799367,0.288061
0.396124,0.543908,0.48,0.5,0.392116,0.738021,0.21168
0.336359,0.496814,0.48,0.5,0.413235,0.688445,0.213544
0.441724,0.540263,0.48,0.5,0.41397,0.73989,0.190365
0.3,0.51,0.48,0.5,0.42,0.61,0.34
0.104753,0.456289,0.48,0.5,0.386066,0.741333,0.170267
0.610046,0.537278,0.48,0.5,0.168816,0.730799,0.206651
0.41286,0.574853,0.48,0.5,0.39467,0.646421,0.233911
0.300802,0.463896,0.48,0.5,0.406538,0.705606,0.289405
0.543202,0.58482,0.48,0.5,0.375179,0.716912,0.220342
0.255644,0.509702,0.48,0.5,0.412199,0.669612,0.301857
0.1,0.49,0.48,0.5,0.41,0.67,0.21
0.457728,0.455497,0.48,0.5,0.312691,0.792127,0.25473
0.54983,0.521374,0.48,0.5,0.21257,0.760944,0.236213
0.470591,0.467739,0.48,0.5,0.106832,0.799749,0.175159
0.593424,0.578636,0.48,0.5,0.471671,0.731288,0.216128
0.3,0.51,0.48,0.5,0.42,0.61,0.34
0.1,0.49,0.48,0.5,0.41,0.67,0.21
0.506093,0.491017,0.48,0.5,0.219825,0.648299,0.33861
0.301587,0.519783,0.48,0.5,0.384118,0.652239,0.294411
0.32578,0.467269,0.48,0.5,0.416214,0.641224,0.274266
0.63,0.57,0.48,0.5,0.49,0.7,0.2
0.581377,0.529395,0.48,0.5,0.443623,0.635448,0.231386
0.120242,0.480777,0.48,0.5,0.389772,0.715994,0.181051
0.357692,0.475707,0.48,0.5,0.0487332,0.764936,0.332943
0.443305,0.576643,0.48,0.5,0.387743,0.671695,0.333108
0.417093,0.466589,0.48,0.5,0.347262,0.799028,0.229378
0.560717,0.58907,0.48,0.5,0.463581,0.701804,0.219809
0.402083,0.523121,0.48,0.5,0.403992,0.653013,0.25694
0.268353,0.489354,0.48,0.5,0.395387,0.771158,0.179309
0.307039,0.499972,0.48,0.5,0.199816,0.649998,0.332946
0.488401,0.510101,0.48,0.5,0.354419,0.793158,0.242135
0.308463,0.45541,0.48,0.5,0.408639,0.718916,0.20238
0.50619,0.574461,0.48,0.5,0.46057,0.734831,0.207998
0.595527,0.566664,0.48,0.5,0.489566,0.67573,0.28147
0.1,0.49,0.48,0.5,0.41,0.67,0.21
0.321287,0.509849,0.48,0.5,0.234194,0.758807,0.334278
0.606828,0.573026,0.48,0.5,0.04365,0.778233,0.294959
0.375107,0.458652,0.48,0.5,0.0345476,0.791689,0.264105
